tipus,Severitat,Superficie,_count,_sum,_mean
"2","4",118.172,2792,93012.4899783134,33.3139290753272
"2","3",400.102,9281,298474.570044518,32.1597424894427
"2","2",163.729,3733,138881.510076046,37.2037262459271
"2","1",83.348,1915,95549.7301130295,49.8954204245585
"3","4",3.105,87,3567.27999687195,41.00321835485
"3","1",5.695,148,5639.1200094223,38.1021622258264
"3","2",5.973,135,4758.06000804901,35.2448889485112
"3","3",11.009,262,8979.39999675751,34.2725190715935
"4","1",20.241,490,20852.8300085068,42.5567959357281
"4","3",115.851,2723,101159.419979095,37.1499889750626
"4","2",39.989,956,37671.3400039673,39.4051673681666
"4","4",151.985,3717,138476.100028515,37.2548022675585
"7","1",2.086,50,4064.53998947144,81.2907997894287
"7","2",1.430,31,2330.11999511719,75.1651611328125
"7","3",0.778,16,1229.62999725342,76.8518748283386
"7","4",0.061,1.17693660663673,118.486687323469,100.673805755828
